357	expect	1. 예상하다, 기대하다 2. 기다리다 3. 요구하다, 바라다 
358	away	1. 떨어져 2. 멀리 3. 떠나다 
359	select	1. 선발하다, 선정하다 2. 선택하다 3. 엄선된, 고급의 
360	final	1. 마지막의, 최종적인 2. 결정적인 3. 결승전 4. 기말 시험 
361	security	1. 보안, 경비 2. 안보 3. 보장 4. 증권 
362	today	1. 오늘 2. 오늘날, 현재 
363	death	1. 죽음, 사망 2. ~의 종말 
364	return	1. 돌아오다, 복귀하다 2. 돌려주다, 반납하다 3. 되살아나다 4. 수익 
365	enter	1. 들어가다 2. 시작하다 3. 입력하다 4. 참가하다 
366	treat	1. 대우(하다) 2. 여기다, 취급하다 3. 치료하다, 처치하다 
367	appear	1. 나타나다 2. ~인 것 같이 보이다 3. 생기다, 발생하다 4. 출연하다 
368	money	돈, 금액, 자금 
369	enough	필요한 만큼의, 충분한 
370	happen	1. 일어나다, 발생하다 2. 우연히 ~하다 
371	season	1.계절 2. 철, 시즌 3. 양념하다 
372	clear	1. 분명한, 확실한 2. 투명한, 맑은, 깨끗한 3. 치우다 4. 승인하다, 허가하다, 통과시키다 
373	bad	1. 나쁜, 좋지 않은 2. 심한, 심각한 3. 잘못된 
374	quality	1. 품질 2. 양질(의) 3. 자질 4. 특성, 특징 
375	sell	팔다, 매각하다 
376	university	대학 
377	story	1. 이야기 2. 소설 3. 기사 
378	joy	1. 기쁨, 즐거움, 환희 2. 만족, 성공 
379	hear	1. 듣다, 경청하다 2. 심리 또는 공판을 갖다 
380	word	1. 단어 2. 말, 이야기 
381	step	1. 단계 2. 걸음 3. 조치 
382	room	1. 방 2. 자리, 공간 3. 여지 
383	sense	1. 감각 2. 느낌, 감 3. 의미, 뜻 4. 감지하다, 느끼다 
384	hope	1. 희망(하다) 2. 바라다, 기대하다 
385	certain	1. 확실한, 틀림없는 2. 특정한, 어떤 
386	depend	1. 의존하다, 의지하다 2. 신뢰하다 3. ~에 달려 있다 
387	choose	1. 선택하다, 고르다 2. ~하기를 원하다 
388	night	밤, 저녁, 야간 
389	near	1. 가까운, 근처(의) 2. 비슷한, 근사한 
390	save	1. 모으다, 저축하다 2. 구하다 3. 절약하다, 아끼다 
391	safe	1. 안전한 2. 무사한 3. 신중한 4. 금고 
392	talk	1. 말하다, 이야기하다 2. 대화(하다) 3. 회담 4. 연설, 강연 
393	success	성공(작), 성과 
